Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3)
6.137,4.017,3.2,14.854,41.3053736961486
6.44,3.07,3.007,15.299,31.1283637845047
6.357,3.389,3.021,14.566,34.0779238293491
6.904,3.305,3.124,17.972,37.3234597133236
6.549,3.349,3.138,17.184,36.0364249458995
6.351,3.556,2.844,14.491,33.6304036055576
6.946,3.515,2.97,18.503,37.9677778622995
6.234,3.39,3.013,14.709,33.3398967189867
6.82,3.431,3.13,17.784,38.3484709811534
7.024,3.405,3.14,18.344,39.3214830681479
5.838,3.462,3.018,15.369,31.9380952627091
6.36,3.431,3.07,16.437,35.0763852604731
7.249,3.58,3.138,18.875,42.6395573908227
5.367,3.714,2.755,11.027,28.7536988710283
6.519,3.538,3.069,17.691,37.0624666875356
6.877,3.443,3.102,17.845,38.4570939148649
