Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3)
6.264,3.031,3.013,14.543,29.9526629420959
6.191,2.962,2.628,11.632,25.2330554111737
6.794,3.136,3.093,15.644,34.5048496095353
7.035,3.122,2.887,16.723,33.2003304757493
5.038,2.649,2.301,9.415,16.0788640226049
6.802,3.172,3.162,16.062,35.7215499157783
6.376,3.126,2.497,13.267,26.0588020417645
6.754,3.228,2.799,16.459,31.9518569464963
6.987,3.096,2.894,16.303,32.7784825444461
5.081,2.971,2.547,10,20.1316519770297
6.397,3.161,2.788,15.768,29.5183609028974
6.905,3.124,3.013,16.868,34.0308237774267
6.381,2.911,2.818,13.744,27.4075718401116
