Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
6.476,3.499,3.147,15.472,37.3375784223607,-42.2736854553223,-26.5650501251221
5.704,3.64,3.266,14.099,35.5055057473388,-8.13010215759277,0
7.071,3.364,3.273,17.822,40.7644373147364,-86.185920715332,-36.8698959350586
6.862,3.347,3.18,18.073,38.2412578067764,0,0
6.336,3.389,3.098,15.308,34.8310665588262,-33.6900672912598,0
6.811,3.45,3.059,18.297,37.6363999203053,-83.6598129272461,-8.13010215759277
7.071,3.473,2.929,18.44,37.6620204236386,0,0
6.862,3.347,3.096,18.088,37.2311113741446,0,0
6.862,3.473,3.096,18.139,38.6327008671659,0,0
6.611,3.264,3.162,16.013,35.7254571773935,-71.5650482177734,0
6.379,3.808,2.827,13.587,35.9562153343181,-67.6198654174805,0
