Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
6.311,3.15,2.763,14.916,28.7599575833287,-50.1944313049316,-89.1185989379883
6.834,3.18,2.98,15.301,33.9091560410028,0,-83.6598129272461
6.331,3.111,2.899,14.244,29.8964183632214,-45,-25.2011222839355
6.338,3.228,2.781,15.361,29.7910199324588,-4.57392120361328,-18.4349479675293
6.543,2.988,2.695,13.66,27.5876625614124,-15.9453954696655,-47.4059715270996
5.816,3.13,2.871,14.239,27.3653212108232,-19.7671680450439,-51.3401908874512
6.82,3.102,2.887,15.247,31.9794930092824,0,-5.71059370040894
6.804,2.93,2.818,15.178,29.4151817659655,-3.65222263336182,-82.8749847412109
6.695,3.138,3.038,15.928,33.4187277609655,-16.6992416381836,0
6.232,2.845,2.811,13.639,26.0957139584532,-71.5650482177734,-4.57392168045044
6.475,3.024,2.808,12.413,28.7883838917556,-72.8972702026367,-28.6104583740234
6.045,2.945,2.934,13.281,27.3489297783655,-40.9143867492676,-52.045768737793
6.351,3.127,2.849,12.978,29.6251846229343,-55.1755104064941,-12.0947570800781
6.525,3.339,2.763,13.894,31.5192911781164,-14.036244392395,-52.3057594299316
6.212,3.151,2.637,14.085,27.0264250260603,-77.6609115600586,-5.19442892074585
6.231,2.541,2.492,12.15,20.658989580371,-18.1780204772949,-32.8285369873047
6.469,3.188,3.077,15.43,33.2262694302871,-45,-53.1301002502441
4.959,3.383,2.956,11.344,25.9656475678162,-63.4349517822266,-58.2405204772949
6.561,2.921,2.792,14.847,28.0166129896789,-82.8749847412109,-36.8698959350586
6.155,3.164,2.659,14.067,27.113244581048,-42.2736854553223,-65.5560455322266
5.709,2.707,2.301,10.2,18.619308157705,-35.3112144470215,-90
6.83,3.817,3.424,19.612,46.7385507616412,-63.4349517822266,-8.13010215759277
7.276,3.694,3.515,20.492,49.4667676901553,-16.6992435455322,-17.354024887085
7.52,3.789,3.593,22.256,53.6041341491607,-4.76364183425903,-7.12501668930054
7.364,3.724,3.561,20.27,51.1321492748183,-11.3099327087402,0
7.053,3.877,3.467,21.373,49.6388999849563,-18.4349498748779,-14.036244392395
6.287,4.937,3.63,18.603,58.99454214299,-63.4349517822266,0
6.867,3.892,3.342,19.948,46.7675852813587,-78.1113433837891,-26.5650501251221
6.771,3.655,3.29,18.526,42.6319026332869,-49.3987007141113,-31.5042686462402
7.381,3.861,3.515,21.847,52.4492109015437,0,-73.6104583740234
7.249,3.767,3.727,20.196,53.2882839744394,-86.054817199707,-85.6012878417969
6.778,3.631,3.222,17.259,41.5194863233657,0,-88.7546310424805
7.303,3.75,3.465,20.232,49.6860451449132,-81.0273742675781,-78.690071105957
7.322,3.849,3.473,21.291,51.2484861672848,0,0
