Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
6.994,3.364,3.237,18.407,39.8770420993804,-26.5650501251221,-10.3048458099365
7.371,3.75,3.033,19.669,43.8963804816676,-80.2724227905273,-4.96974086761475
7.453,3.464,3.119,17.905,42.1621745261083,-85.2363510131836,-0.674036920070648
6.98,3.555,3.264,18.66,42.40761027512,-63.4349517822266,0
6.987,3.766,3.344,19.466,46.0718816616724,-31.6075019836426,0
7.519,3.599,2.963,20.773,41.98287784078,-14.036244392395,-2.20259809494019
6.231,3.771,3.563,16.28,43.8357789567472,-15.2551202774048,-22.3801364898682
7.204,3.556,3.087,17.778,41.4067084312607,0,-26.5650501251221
6.893,3.452,3.103,18.241,38.6597875805885,-55.0079803466797,-76.6075057983398
7.409,3.364,3.016,18.889,39.3591346455997,-8.01709365844727,-20.5560455322266
6.775,3.402,2.896,16.233,34.9494856517796,-45,-12.2647733688354
6.939,3.434,2.803,18.036,34.971873467268,-66.8014068603516,0
7.368,3.508,2.914,19.816,39.4364098661766,-23.9624900817871,-36.3843536376953
5.523,3.054,2.858,13.424,25.2409050259939,0,-52.8152923583984
7.278,3.414,2.951,18.112,38.3922354046643,-74.0546035766602,-81.1932067871094
6.678,3.724,3.61,17.952,47.006932456256,-19.9831047058105,-63.4349517822266
