Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
7.168,3.193,3.005,16.411,36.0114006849124,-85.6012878417969,-4.51398897171021
7.238,3.222,3.096,17.547,37.8045165994369,0,0
7.235,3.383,3.166,17.793,40.5742093860368,-14.036244392395,-84.8055725097656
7.189,3.367,3.138,17.726,39.7706932724374,0,-10.6196546554565
6.987,3.389,3.146,17.964,39.004943458876,-19.9831066131592,0
6.699,3.177,3.019,15.668,33.642551658973,-10.3048467636108,-70.6410064697266
6.652,3.452,3.162,16.918,38.0174965756883,-26.5650501251221,-16.3895416259766
7.296,3.582,3.123,19.952,42.7347348179621,-68.1985931396484,-14.036244392395
6.324,3.277,3.255,15.45,35.319774150868,-12.0947570800781,-36.2538375854492
7.238,3.17,3.08,16.858,37.0021687813136,-10.3048458099365,-5.44033193588257
6.921,3.22,3.075,16.198,35.8813242872556,-74.3577575683594,-82.2348327636719
7.206,3.337,2.929,17.161,36.8780932748729,0,-5.57219743728638
7.307,3.259,3.195,17.557,39.8375803671339,-8.13010215759277,-7.12501668930054
6.686,3.394,3.166,16.163,37.6173106053628,-45,-23.9624900817871
5.396,2.673,2.461,11.487,18.585794707564,-22.2034797668457,-22.520565032959
5.976,3.365,2.983,15.162,31.4085243781194,-75.9637603759766,-33.6900672912598
6.098,3.127,3.009,13.539,30.0425028692903,-37.2348365783691,-73.0724868774414
7.145,3.27,3.217,16.817,39.3549775509232,-19.9831066131592,-3.3664608001709
7.283,3.258,3.143,15.989,39.0485033814603,-11.3099327087402,-56.7682876586914
