Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
6.121,3.515,2.974,14.424,33.5032775644792,-42.1375961303711,0
6.653,3.473,3.043,16.919,36.8148369554581,-20.7255573272705,0
5.445,3.256,2.6,13.214,24.1353860921685,-63.4349517822266,-55.7842979431152
5.859,3.585,3.013,15.321,33.1367882064768,0,-86.185920715332
6.889,3.513,3.104,15.87,39.3327823967459,-12.52880859375,-66.8014068603516
6.58,3.457,3.304,16.767,39.3517394537793,-73.6104583740234,-6.34019088745117
5.896,3.394,2.628,14.524,27.5355208632736,-70.3461761474609,-58.172550201416
6.155,2.758,2.6,11.316,23.109699025871,-12.8042650222778,-79.6951522827148
6.715,3.393,3.081,16.339,36.7553190784175,-77.9052429199219,-2.38594388961792
6.399,3.38,3.331,16.184,37.7226388220532,-26.5650501251221,-21.8014068603516
7.174,3.549,3.421,18.962,45.6056939199749,-83.1572265625,-37.8749847412109
6.907,3.506,3.021,18.115,38.3045809326826,-15.5241088867188,-18.4349479675293
6.371,3.41,3.036,16.385,34.5352316630617,-75.9637603759766,-13.6269950866699
6.366,3.408,3.22,16.621,36.5780639099512,-47.1210975646973,-66.3706207275391
5.851,3.082,2.943,13.494,27.7876370006708,-54.4623184204102,-83.1909484863281
6.891,3.139,2.335,15.764,26.4459439303732,-87.2736892700195,-9.00850391387939
6.535,3.63,2.973,14.376,36.9271464230085,-75.9637603759766,-26.5650501251221
6.272,3.202,3.195,15.269,33.5967186197454,-28.8107891082764,-71.5650482177734
