Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
6.151,2.971,2.929,13.538,28.0263391285801,0,0
5.443,3.036,2.72,11.896,23.5346437077815,-57.5288047790527,0
5.774,3.264,2.269,14.278,22.390306972385,-32.1522941589355,0
6.418,2.863,2.562,14.025,24.6489718307704,-81.8698959350586,-63.4349517822266
6.132,3.02,2.859,13.146,27.7218281398429,-82.5041427612305,-9.7824068069458
6.448,2.97,2.934,14.195,29.4198334593758,-12.0947570800781,-78.2317123413086
6.521,3.07,2.83,13.748,29.6645410437591,-18.4349479675293,-85.6012878417969
6.1,3.144,2.608,14.14,26.188979864693,-75.9637603759766,-26.5650501251221
6.527,2.895,2.427,12.905,24.0121241100466,-79.0459365844727,0
5.799,2.988,2.618,12.751,23.7520974502017,-36.0273704528809,-45
5.651,2.882,2.624,12.427,22.3759630802696,-56.103832244873,-63.4349517822266
6.069,3.155,2.424,14.309,24.3023202098519,-74.0546035766602,-82.8749847412109
6.398,2.68,2.552,12.805,22.9117531789625,0,-17.6501235961914
6.375,2.921,2.673,13.751,26.0620952178345,-18.4349479675293,-5.19442892074585
5.72,2.642,2.541,11.631,20.1062986661515,-46.1457633972168,-75.4655456542969
6.217,3.143,2.532,14.507,25.9052371286981,-66.0375137329102,-80.9097213745117
5.408,2.993,2.659,11.585,22.5351451337736,-80.7889709472656,-14.036244392395
