Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
5.703,2.897,2.545,12.126,22.0159928631738,-26.5650501251221,-78.690071105957
6.067,2.929,2.594,13.658,24.1358145750377,0,0
6.244,2.689,2.54,12.665,22.3298618165737,-18.4349479675293,-78.8869552612305
6.007,2.769,2.712,12.035,23.6194018543897,-26.5650501251221,-71.5650482177734
5.611,3.058,2.983,11.07,26.7996810527623,-21.4477367401123,-87.7974014282227
4.79,2.807,2.395,9.832,16.8609509934221,-63.4349517822266,-75.9637603759766
5.59,2.77,2.703,11.344,21.9147360882542,-53.1301002502441,-36.8698959350586
5.651,2.79,2.545,11.469,21.009509805607,-63.4349517822266,-78.690071105957
6.192,2.845,2.675,12.811,24.6737765331775,-11.3099327087402,0
5.707,2.751,2.185,11.526,17.9617450027889,-26.5650501251221,-62.0490341186523
5.108,2.732,2.443,10.252,17.8506351241189,-63.4349517822266,-24.7751426696777
5.649,2.928,2.702,11.272,23.4005795839442,-70.3461761474609,-38.9909896850586
6.15,2.762,2.513,11.489,22.3506367813287,0,-17.3540229797363
5.641,2.797,2.53,11.327,20.9010310092136,-56.3099365234375,-68.1985931396484
5.562,2.644,2.456,9.764,18.911214477719,-45,-74.0546035766602
5.626,2.827,2.332,11.934,19.420155574739,-59.0362510681152,-77.9694061279297
