Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
5.775,2.37,2.196,10.4,15.7373387300564,-47.1210975646973,-83.7965545654297
6.025,2.385,2.305,11.197,17.3426311186345,-19.4400367736816,0
5.105,2.218,1.799,8.881,10.6656437610814,0,-71.5650482177734
5.202,2.429,2.377,9.686,15.7262677921026,-87.5104446411133,-73.3007583618164
6.257,2.403,2.301,11.305,18.114867708415,-17.354024887085,-10.3048467636108
6.13,2.367,2.184,10.48,16.5924297963855,-86.4236679077148,-10.0079793930054
5.176,2.409,2.307,9.335,15.0618141506035,-69.4439544677734,-4.57392120361328
4.937,2.51,2.092,8.832,13.5736657710089,0,0
5.815,2.283,2.095,9.782,14.5625785239467,-77.47119140625,-32.9052429199219
6.271,2.537,2.212,12.045,18.4264219928963,-14.036244392395,-14.036244392395
6.212,2.454,2.194,11.757,17.5122218754507,-13.1340217590332,-11.3099327087402
5.647,2.28,2.171,9.61,14.6356185032535,-73.3007583618164,-5.82634210586548
5.814,2.501,2.379,10.463,18.1126411753076,-33.6900672912598,-18.4349498748779
5.813,2.412,2.016,10.254,14.8001724749443,-78.690071105957,-23.1985912322998
6.067,2.51,2.275,11.434,18.1396014040212,-73.4956359863281,0
5.607,2.547,2.301,9.497,17.2057949162714,0,-17.9691390991211
6.238,2.485,2.285,11.49,18.546270519932,-53.1301002502441,-43.8308639526367
6.298,2.554,2.224,11.727,18.7308270759272,-74.0546035766602,-71.565055847168
5.961,2.398,2.243,10.688,16.7878931536375,-75.9637603759766,-3.36646056175232
6.243,2.483,2.21,11.368,17.9374602009793,-18.4349479675293,-33.6900634765625
6.352,2.437,2.338,10.986,18.9499970955468,-22.7144107818604,-19.6538257598877
5.997,2.551,2.134,11.526,17.0937577473115,0,-53.5307655334473
6.484,2.422,2.391,11.707,19.6605355335605,-3.69138646125793,-17.7004261016846
6.22,2.297,2.226,10.466,16.652335884219,-73.6104583740234,-76.7014312744141
