Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
5.332,2.501,2.13,10.128,14.8724342707552,-82.5041427612305,-18.4349479675293
5.396,2.526,2.282,10.181,16.2861919689379,-15.9453954696655,-30.9637546539307
5.035,2.251,2.044,6.702,12.1298235595401,-34.1596908569336,-78.9297943115234
4.735,2.316,2.228,7.763,12.7929984482127,-56.309928894043,-18.7257862091064
5,2.527,2.13,9.188,14.091378228228,-45,-66.8014068603516
5.407,2.356,2.301,9.253,15.3478270517153,0,-19.6538238525391
5.521,2.615,2.101,10.836,15.8823263281063,-14.036244392395,-84.2894058227539
4.996,2.395,2.343,8.944,14.6790807097399,-63.4349517822266,-73.4429321289063
4.989,2.577,2.427,9.954,16.3379032955868,0,-78.690071105957
5.607,2.552,2.259,10.851,16.924898753818,0,0
5.037,2.469,2.256,8.652,14.6903031635658,-80.7538833618164,0
5.435,2.427,2.235,9.329,15.4363804762977,0,-58.5704383850098
4.908,2.256,2.164,8.497,12.5458337467225,-80.7889709472656,-54.4623222351074
5.222,2.565,2.284,10.195,16.01839352566,-21.8014068603516,-56.3099365234375
5.523,2.427,2.346,10.285,16.4653683045641,-3.57633447647095,0
5.188,2.427,2.171,9.465,14.3129182087968,-26.5650501251221,0
5.14,2.392,2.242,9.077,14.433063583875,-80.5376739501953,-2.8624050617218
4.252,2.009,1.841,6.561,8.23427948182948,-14.036244392395,-82.6942443847656
5.045,2.427,2.22,8.261,14.2325442804004,0,-88.1523895263672
5.036,2.442,1.96,8.998,12.6207764646066,-48.8140754699707,-49.6858978271484
5.444,2.437,2.396,9.681,16.6440526814415,-56.309928894043,-45
5.03,2.395,2.337,8.897,14.7411320812409,-45,-26.5650501251221
4.92,2.548,2.294,8.541,15.0576279532598,-82.8749847412109,-61.3895416259766
5.429,2.507,2.339,10.464,16.668749489514,-63.4349517822266,-75.9637603759766
