Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
5.118,1.883,1.805,6.571,9.10807147637891,-45,0
5.07,2.052,1.775,7.664,9.66901636923374,-45,-69.6768646240234
4.903,1.796,1.757,6.361,8.10099957491668,-63.4349517822266,0
5.46,1.954,1.715,7.862,9.58031852720788,0,-15.9453954696655
4.852,1.834,1.172,6.681,5.46067535059125,-45,0
4.629,1.927,1.879,6.178,8.77595318508914,-26.5650501251221,-55.4914779663086
5.06,2.009,1.822,7.541,9.69789434967246,-33.6900634765625,-41.9872131347656
4.792,1.867,1.77,6.428,8.2914982994782,-40.6012992858887,-75.9637603759766
4.96,1.908,1.816,6.821,8.99859100934786,-75.9637603759766,-15.9453954696655
4.351,2.176,1.925,5.902,9.542833148385,0,0
4.891,1.731,1.423,6.023,6.30809540530774,-11.3099327087402,0
5.544,1.971,1.779,8.093,10.1785148895102,-4.89909267425537,-18.4349498748779
5.272,1.847,1.715,6.607,8.74389721298075,-75.9637603759766,0
