Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
6.276,3.473,2.924,17.024,33.3705764509834,-79.1596984863281,0
6.933,3.52,3.031,18.267,38.7300825236756,-29.7448825836182,-18.4349498748779
7.032,3.498,3.017,17.931,38.8572981514573,-71.5650482177734,-60.2551155090332
6.348,3.447,3.18,16.487,36.4337558567182,0,-56.3099365234375
6.726,3.436,3.08,17.793,37.2699969273029,-60.9453964233398,-29.7448825836182
6.626,3.386,3.106,17.34,36.4870254012805,-26.5650501251221,-40.6012992858887
7.325,3.658,3.013,20.251,42.2716387155007,0,-61.6992454528809
6.151,3.288,3.013,14.542,31.9062151847082,0,-20.3764343261719
7.071,3.473,3.178,18.524,40.8637422008615,-8.74616146087646,0
6.987,3.389,3.197,17.29,39.6372550025513,-75.9637603759766,0
6.904,3.473,3.138,18.477,39.3964534571801,0,0
6.435,3.492,2.941,17.296,34.6032135603864,-56.8886528015137,-77.9052429199219
7.106,3.577,3.054,19.756,40.6454371025402,0,-9.46232128143311
