Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
7.427,3.815,3.499,21.157,51.9099404899605,-63.4349517822266,-46.9749336242676
6.81,3.972,3.582,19.434,50.7318331629699,-53.1301002502441,-30.5792236328125
7.318,3.933,3.277,21.868,49.3845857615731,-55.8855285644531,-86.4236679077148
4.895,4.393,3.324,13.872,37.4260106490109,-43.919075012207,-77.6192398071289
5.565,3.403,3.377,14.569,33.4855009697866,-82.2348327636719,-56.7251129150391
6.946,3.975,3.517,20.383,50.844373761157,-32.9052429199219,0
6.774,3.499,3.322,18.098,41.2275365347049,-26.5650501251221,-77.47119140625
6.742,4.006,3.368,20.668,47.6288831964823,-63.4349517822266,-64.4400329589844
6.302,4.218,3.402,16.681,47.3497734949318,-45,-81.0273742675781
6.465,3.793,3.585,17.436,46.0298070322583,-31.6075019836426,-28.6104583740234
6.77,3.766,3.3,17.037,44.0536144450862,-38.6598052978516,0
7.238,3.933,3.389,21.061,50.514111244776,0,0
6.974,3.704,3.502,19.467,47.3661062790906,-34.5085220336914,-69.6768646240234
7.701,3.89,3.782,22.391,59.3221484773399,-2.48955297470093,-71.5650482177734
