Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
7.762,3.462,3.251,18.035,45.742120512063,-82.8749847412109,-49.7636451721191
6.192,3.4,3.264,15.516,35.9797910687174,0,-19.4400367736816
6.959,3.278,3.031,16.656,36.2026485630828,-63.4349517822266,-64.9831008911133
6.735,3.34,2.988,15.041,35.193566666452,-55.8640632629395,-23.1985893249512
7.334,3.983,3.291,21.129,50.33588591637,-48.8140754699707,-38.1572265625
7.63,4.015,3.191,22.951,51.1841521910072,-54.4623222351074,-77.9052429199219
7.587,3.487,3.189,18.78,44.1748591037511,-71.565055847168,-9.46232223510742
7.001,3.724,3.437,18.051,46.9189089403381,-48.0127830505371,0
7.56,3.537,3.521,20.079,49.2971148591334,-45,-63.4349517822266
6.402,3.305,2.874,15.724,31.8399604596262,0,-24.3410892486572
7.765,3.522,3.213,18.603,46.0087209058409,-12.52880859375,-12.5288076400757
6.964,3.829,3.357,19.484,46.8699070609002,-32.0053825378418,-19.9831066131592
7.544,3.639,3.069,20.708,44.1142851463061,-63.4349517822266,-45
