Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
6.41,3.104,2.508,14.278,26.1279837070405,-51.3401947021484,-2.72631096839905
7.318,3.519,2.864,19.376,38.6174246592595,-46.0809288024902,-29.7448825836182
7.605,3.222,3.007,16.339,38.5795186641154,0,-57.52880859375
7.429,3.593,2.899,19.194,40.5167324158658,-45,-26.5650501251221
6.73,3.432,2.93,15.012,35.4346857875707,-60.9453964233398,-80.5376739501953
6.747,3.535,3.3,17.21,41.210956113458,-8.53076648712158,-64.3589935302734
6.565,3.68,3.192,16.069,40.3779303058747,-82.8749847412109,-41.1859283447266
7.544,3.55,2.937,18.82,41.1843865648291,-74.0546035766602,-45
7.166,3.507,3.096,18.815,40.7391669403335,0,-6.34019136428833
5.312,3.295,3.218,11.721,29.4915872680322,-27.0126667022705,-50.5275421142578
5.774,2.971,2.346,13.09,21.0720147414057,0,-68.1985931396484
5.928,3.432,2.882,14.103,30.7006855148618,-26.5650501251221,-79.6951522827148
6.454,3.4,3.109,16.616,35.7212972647083,-18.4349460601807,-14.036244392395
