Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
7.012,3.639,3.596,19.154,48.0443440552453,-60.2551155090332,-45
6.183,3.343,3.258,15.64,35.2602449818963,-45,-77.47119140625
7.171,3.756,3.379,19.537,47.6532055471308,-69.4439544677734,-66.0375061035156
6.01,3.465,3.462,15.08,37.7488214207149,-1.04162669181824,-45
6.922,3.293,2.855,18.258,34.0743877034473,-27.34987449646,-4.23639488220215
7.071,3.426,3.138,17.247,39.8033620943979,0,-8.13010215759277
7.271,3.655,3.295,19.583,45.8496016909968,-79.8753280639648,-32.2756462097168
6.707,3.481,2.719,17.48,33.2384037947361,-33.6900672912598,-76.551383972168
6.48,3.364,3.007,16.485,34.3212457865417,-21.0375118255615,-88.8065032958984
6.765,3.431,3.191,16.326,38.7805483376426,0,-14.5344572067261
6.946,3.64,2.401,19.18,31.7853461228182,-62.8786964416504,0
6.184,3.558,3.349,15.408,38.5823960268357,-26.5650501251221,-55.0079765319824
6.234,3.412,3.367,15.787,37.4988163236252,-56.3099365234375,-85.2363510131836
