Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
4.878,2.959,2.927,10.904,22.1211706410348,-60.2551155090332,-45
6.102,3.188,2.657,14.415,27.063296321956,-63.4349517822266,-72.4744338989258
6.051,2.654,2.455,11.845,20.6432556141406,-22.1094493865967,-88.9583740234375
6.338,2.964,2.597,13.835,25.5447117319665,-73.3007583618164,-71.5650482177734
5.977,2.983,2.904,13.306,27.1101389512527,-14.036244392395,-33.9435844421387
6.129,2.953,2.877,13.113,27.2641242643941,-39.8055686950684,-29.7448806762695
5.253,3.013,2.779,11.045,23.0299874640629,0,-18.4349479675293
6.126,3.03,2.951,12.886,28.6805485040096,-39.1736602783203,-71.5650482177734
6.008,3.473,2.485,12.385,27.149367901432,-53.1301002502441,0
5.406,3.389,2.844,13.424,27.2819761274578,-33.3106269836426,-28.6104621887207
6.082,3.186,2.92,12.604,29.6260438312463,-30.9637565612793,-69.9047698974609
5.985,3.096,2.547,11.54,24.7111339025717,-55.0079803466797,0
5.951,2.805,2.726,11.782,23.8257889062894,-6.34019184112549,-66.2505035400391
6.604,2.906,2.181,14.374,21.9157815286079,-88.3634185791016,-68.1985931396484
6.716,3.314,2.746,16.356,32.0009113533634,-65.5560455322266,-45
5.346,3.449,2.919,11.571,28.1809004694897,-48.5035285949707,-84.1932754516602
