Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
4.961,2.788,2.163,9.079,15.6645216828767,-63.4349517822266,-51.1155052185059
5.594,2.884,2.81,11.451,23.7368267673096,-86.9872131347656,-34.6951560974121
4.432,2.564,2.264,8.287,13.4707822935504,-15.5241117477417,-63.4349517822266
4.561,2.552,2.346,8.679,14.2977392457494,0,-80.5376739501953
5.439,2.594,1.952,10.979,14.4200732406713,0,-74.2192459106445
5.888,2.769,2.278,9.777,19.4465739352685,-14.4207744598389,-45
5.258,2.919,2.608,11.777,20.9585332582099,-49.899097442627,-63.4349517822266
5.485,2.865,2.72,11.475,22.3804484535761,0,-31.7594795227051
6.324,2.935,2.72,13.527,26.4342804456335,0,-67.1663436889648
5.063,2.971,2.552,11.707,20.0997137078316,0,0
4.686,2.738,2.593,8.632,17.4195474117271,-23.1985893249512,-40.8150825500488
6.386,2.846,2.732,13.6,25.9981908339319,-11.3099327087402,-6.34019184112549
5.93,2.812,2.553,10.816,22.2904813452863,-36.8698959350586,-56.309928894043
5.651,2.669,2.657,11.196,20.9828297949153,-56.3099365234375,-26.5650501251221
