Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
5.776,2.481,2.371,10.217,17.7903349590917,-40.2363624572754,-27.5528125762939
5.387,2.49,2.26,8.804,15.8727941521827,-30.9637546539307,-64.9831008911133
5.911,2.261,2.067,10.051,14.4644065715307,-50.5275421142578,-87.3974456787109
5.967,2.537,1.969,10.876,15.6070507833099,-55.5610122680664,-75.9637603759766
5.596,2.568,2.419,10.843,18.2015015036471,-20.8544578552246,-11.3099327087402
5.763,2.429,2.137,9.327,15.6631561974838,-10.3048467636108,-22.4794368743896
6.471,2.491,2.463,11.88,20.787782370917,-4.76364183425903,-84.1736602783203
5.582,3.188,2.178,9.093,20.2938591868623,-67.0112915039063,-6.34019184112549
5.646,2.411,2.408,10.448,17.1629994704142,-52.5946426391602,-71.5650482177734
6.092,2.447,2.427,11.186,18.9435889984213,-30.9637546539307,0
6.223,2.613,2.18,11.8,18.560698949164,-52.1250152587891,-35.7538833618164
3.996,2.541,2.024,6.943,10.7606690607853,-27.645975112915,-73.3007583618164
6.036,2.663,2.267,12.011,19.0796559881063,-51.3401908874512,-45
1.967,1.381,0,2.206,0,-90,0
