Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
4.508,2.208,2.064,7.602,10.7570030483532,-11.5921754837036,-80.5376739501953
5.884,2.472,2.317,10.016,17.64598015896,-61.189208984375,-33.6900634765625
4.993,2.344,2.176,8.957,13.3344984962733,-14.036244392395,0
5.237,2.574,2.176,10.311,15.3584939085971,0,-45
4.755,2.477,1.894,8.471,11.6803303207908,-45,-76.504264831543
4.694,2.558,2.015,7.333,12.668269627683,-6.34019184112549,-1.63657712936401
5.063,2.594,2.134,10.164,14.674757610166,0,0
5.549,2.51,2.352,9.389,17.1523798568027,0,-85.2363510131836
5.129,2.379,2.354,9.142,15.0394592715725,-56.3099365234375,-32.9052429199219
4.812,2.578,2.259,9.299,14.6731509347567,-38.9909973144531,-24.145544052124
5.686,2.46,2.299,10.108,16.8375754968082,-86.4236679077148,-33.6900672912598
5.033,2.302,2.064,8.83,12.5210446705973,-26.5650501251221,-71.5650482177734
3.766,2.72,2.301,8.296,12.3414009131082,0,0
5.587,2.32,2.018,8.167,13.6957695709651,-63.4349517822266,-42.2736854553223
0,0,0,0,0,0,0
4.548,2.077,1.735,5.994,8.58133890451279,-23.5522632598877,-63.4349517822266
