Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
4.704,2.101,1.775,7.263,9.1852365474814,-45,-45
4.024,1.739,1.657,4.824,6.07125794458515,-55.3048400878906,-45
4.737,2.03,1.76,5.862,8.86157082275266,-18.4349479675293,-5.19442892074585
3.305,1.715,0,4.367,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
5.164,2.008,1.47,7.081,7.98115782848522,-84.8055725097656,-56.3099365234375
4.435,2.218,1.779,7.583,9.16283226376436,-68.1985931396484,0
5.035,1.873,1.833,6.771,9.05103698487236,-29.0546054840088,-46.1233062744141
5.795,1.919,1.448,7.447,8.43132051444904,-53.1301040649414,-71.5650482177734
4.879,2.059,1.822,7.117,9.58372094640274,-56.309928894043,-36.8698959350586
4.746,1.988,1.721,5.932,8.50204905805974,-63.4349517822266,-50.1944313049316
4.895,1.882,1.757,6.639,8.47505839045486,-35.5376777648926,0
4.812,1.757,1.497,6.14,6.62701269913438,0,-63.4349517822266
