Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
6.408,3.535,3.069,16.286,36.4005069365327,-26.5650501251221,-74.0546035766602
6.417,3.682,3.098,15.187,38.3262086146957,-33.6900672912598,0
7.223,3.611,3.068,19.987,41.898558436959,-77.47119140625,-63.4349517822266
5.531,3.562,3.414,15.153,35.2175964510487,-57.5288047790527,-75.9637603759766
6.843,3.364,3.151,17.687,37.9795270795319,-64.1336441040039,-14.9314184188843
7.143,3.582,3.096,20.177,41.4768538114991,0,-34.9920234680176
7.113,3.347,3.222,17.278,40.1636042796934,0,0
6.908,3.507,3.015,18.005,38.2449443715076,-22.9887161254883,-10.3048467636108
6.381,3.705,3.125,14.791,38.6834857224332,-63.4349517822266,-63.4349517822266
6.318,2.887,2.84,14.002,27.1233524773873,0,-64.0256042480469
6.033,3.414,3.163,15.08,34.1110160955878,-36.8698959350586,-36.8698959350586
6.648,3.412,2.746,17.217,32.6136336526033,-62.1985473632813,-66.8014068603516
6.189,3.616,3.087,16.468,36.1729690084201,-26.5650501251221,-31.6075019836426
6.417,3.654,2.937,14.32,36.058125930694,-71.5650482177734,-67.5205688476563
