Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
5.565,3.598,3.016,16.041,31.6195938513472,-16.5043601989746,0
7.005,3.994,2.847,17.504,41.7063601893117,-51.7098350524902,-45
6.685,3.334,3.03,16.35,35.3596744510198,-48.3018646240234,-5.19442892074585
6.607,3.362,2.945,17.269,34.2520001573921,-1.59114027023315,-86.185920715332
5.541,3.307,2.792,13.139,26.7877588919015,-83.0887680053711,-6.70983695983887
7.276,3.555,2.988,19.454,40.4679785300868,-45,-29.7448825836182
6.45,3.639,2.687,17.623,33.0223562988263,-45,-75.7499694824219
5.69,3.222,2.971,13.053,28.5193141150458,0,0
8.117,3.598,3.4,20.824,51.9917270925658,-75.9637603759766,0
7.141,3.388,3.225,18.498,40.8536417322944,-39.8055686950684,-6.93434906005859
5.591,3.556,2.912,12.176,30.3138597872366,-79.6951522827148,0
7.634,3.556,3.44,19.672,48.8957343212397,0,-71.5650482177734
5.728,3.405,3.066,14.243,31.3105645554641,-80.8376541137695,-37.8749847412109
