Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
6.986,3.447,2.977,18.056,37.5359421984815,-18.4349479675293,-33.6900634765625
6.249,3.331,2.963,13.433,32.293523373524,-20.5560455322266,-63.4349517822266
7.224,3.257,2.971,17.939,36.6013218366489,0,-79.5625228881836
6.796,3.412,2.754,17.411,33.4368187416417,-38.9275436401367,-9.46232128143311
6.867,3.377,2.813,16.121,34.1559573434752,-30.9637546539307,-12.8042659759521
6.906,3.051,3.012,15.656,33.2293901983702,-24.4439544677734,-6.20344877243042
6.987,3.347,3.18,16.581,38.9378706347926,0,0
5.901,3.017,2.427,13.232,22.6239964232274,-18.4349498748779,0
6.36,2.845,2.72,14.083,25.7695546259716,0,0
5.987,3.443,2.981,13.589,32.1741349589124,-13.3924961090088,-15.9453954696655
7.167,3.386,3.096,17.592,39.3390558556822,0,-66.0375137329102
6.22,3.013,2.921,13.776,28.6628714323543,-11.3099327087402,-63.4349517822266
