Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
7.169,3.63,3.222,19.123,43.902511346855,0,-28.6104621887207
5.941,2.971,2.592,11.829,23.9549806115582,-8.13010215759277,0
6.536,3.199,3.18,15.671,34.813847765952,-55.3048477172852,0
6.494,3.473,3.44,16.818,40.6232001410951,-49.3987045288086,0
6.752,3.53,3.48,16.905,43.4295175865762,-63.4349517822266,-75.6506729125977
5.95,3.629,3.218,14.948,36.382169763901,-26.5650501251221,-22.4794368743896
6.485,3.462,3.013,15.286,35.4188778745324,0,-45
5.439,3.138,2.942,13.792,26.2913743406885,-16.6992435455322,0
7.542,3.824,2.992,21.221,45.181913852641,-9.46232318878174,-71.5650482177734
6.53,3.102,2.377,15.991,25.2105766057374,-55.4077072143555,-50.1944274902344
7.045,3.316,2.675,15.884,32.7203490541907,-10.3048467636108,-23.4286918640137
6.528,3.598,3.153,15.421,38.7760795618937,-65.224853515625,-81.4692306518555
