Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
5.799,3.427,2.785,11.673,28.9795098043981,-10.1542663574219,-48.1798324584961
6.123,2.749,2.66,12.871,23.4433276938541,-40.6955299377441,-43.6028137207031
6.527,2.929,2.887,13.887,28.8987055888111,0,0
6.238,3.262,2.732,15.388,29.1077505521886,-34.9920234680176,-22.2490234375
5.426,2.844,2.451,11.734,19.8039269203226,-40.100902557373,-63.4349517822266
5.844,3.07,2.327,9.599,21.8596693411602,-6.75357389450073,-71.5650482177734
5.338,3.006,2.9,12.437,24.3648737806465,-56.3099365234375,-26.5650501251221
6.046,3.11,2.594,14.463,25.5386023479425,0,-56.3099365234375
6.404,2.709,2.703,12.909,24.5530244495371,-14.036244392395,-12.8750028610229
6.023,3.282,2.584,14.918,26.7449981088068,-35.2724227905273,-32.0053863525391
5.917,2.752,2.491,11.992,21.2384270300774,-45,-79.5085296630859
6.318,3.034,2.301,13.612,23.094599700103,-8.42696952819824,0
5.466,2.935,2.595,11.534,21.7978528979579,-68.9624862670898,-59.1723403930664
