Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
5.899,2.876,2.762,12.506,24.5351984140302,0,-48.9909172058105
5.636,2.87,2.766,11.166,23.4262988479549,-45,-58.0918960571289
5.291,3.022,2.441,12.249,20.4361284270973,-28.6104621887207,-68.1985931396484
6.325,2.837,2.414,11.283,22.6806634196029,-85.6012878417969,-63.4349517822266
5.633,2.863,2.84,11.43,23.9815948482953,-63.4349517822266,-37.8749847412109
4.263,2.845,2.478,8.285,15.7361152525054,0,-13.091893196106
6.015,3.08,2.679,13.987,25.9870920101546,-14.036244392395,-29.0546054840088
5.52,2.75,2.507,9.975,19.9262111398505,-63.4349517822266,-33.6900634765625
5.146,2.545,2.477,9.644,16.9856510369632,-26.5650501251221,-88.0908508300781
6.039,2.961,2.567,13.628,24.0341035499059,-75.9637603759766,-24.4439544677734
5.316,2.813,2.797,10.811,21.9000846300293,-54.4623184204102,-5.94686317443848
5.745,2.971,2.526,10.53,22.5748385673794,-26.5650501251221,0
