Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
4.615,2.072,1.805,6.769,9.03727057037022,-45,-29.3577518463135
5.51,2.12,1.841,8.13,11.2600383742522,0,-35.8376541137695
4.391,2.083,1.424,6.549,6.81963794681916,-61.8214073181152,-81.8698959350586
4.042,1.721,1.598,5.263,5.82039657919054,-63.4349517822266,-45
4.354,1.858,1.63,6.209,6.90431124529295,-72.8972702026367,-79.3803482055664
4.575,2.152,1.839,6.262,9.48011742952163,-74.0546035766602,-63.4349517822266
4.631,1.813,1.52,6.405,6.68212807389386,-18.4349498748779,-1.1691392660141
4.637,1.823,1.285,6.394,5.68755375735125,-72.4744338989258,-51.0958633422852
4.686,1.883,1.69,5.742,7.80796631797031,-36.8698997497559,0
4.686,2.092,1.59,5.935,8.16130693000225,0,0
5.082,1.815,1.625,6.304,7.84807740328114,-26.5650501251221,-11.5138311386108
4.393,2.145,1.757,6.733,8.66879800870136,-17.1027297973633,-20.5560474395752
5.302,1.849,1.799,7.25,9.23435189391556,0,-48.3664627075195
5.517,1.89,1.778,7.386,9.70722658678563,-63.4349517822266,-51.0724563598633
0,0,0,0,0,0,0
