Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
7.406,3.226,3.054,17.252,38.2046060516586,-9.46232223510742,0
7.268,3.473,2.836,18.073,37.4821548702317,0,-1.84761035442352
6.627,3.521,2.763,17.441,33.7568957795291,-45,-81.8698959350586
6.381,3.293,3.197,16.03,35.1739979481358,-26.5650501251221,-48.1798324584961
7.393,3.459,3.266,18.823,43.7306639259162,-11.3099327087402,-28.6104583740234
7.383,3.311,3.17,17.144,40.5741970186337,-85.2363510131836,-56.9761276245117
0,0,0,0,0,0,0
7.224,3.504,3.285,17.459,43.5387374427886,-11.3099327087402,-29.7448825836182
7.322,3.431,3.347,18.786,44.0255486888706,0,0
6.904,3.264,2.935,17.269,34.6304121815282,-81.8698959350586,0
7.155,3.473,2.971,17.469,38.6558916690241,0,0
6.287,3.255,3.218,15.243,34.4809414705477,-21.8014068603516,-26.5650501251221
7.216,3.354,3.1,16.799,39.2843796022719,-33.6900634765625,-59.1842918395996
7.325,3.547,3.473,19.65,47.2467808319442,0,-76.4295654296875
