Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
2.686,1.731,0,3.163,0,-2.60256195068359,0
6.015,2.693,2.594,11.839,22.0009066917778,0,-82.8749847412109
5.557,2.842,2.54,10.408,21.0037484964355,-71.5650482177734,-59.0362396240234
5.754,2.712,2.58,11.137,21.0803526099897,-71.5650482177734,-77.9052429199219
5.703,2.864,2.507,12.407,21.4402251397856,-26.5650501251221,-11.3099327087402
5.937,2.821,2.547,11.761,22.3356040609902,-28.0091781616211,-14.036244392395
4.97,2.544,2.025,9.072,13.4059361182898,-45,-20.2248573303223
5.502,2.681,2.561,10.188,19.7799687357641,-37.4761772155762,-50.1944313049316
5.148,2.663,2.183,10.308,15.6697498208398,-45,-71.5650482177734
5.558,2.665,2.5,10.848,19.3889542901907,-48.8140754699707,-16.5873374938965
5.675,2.982,2.582,12.874,22.8785430993341,-26.5650501251221,-33.6900672912598
5.021,2.427,2.134,8.067,13.6161094930538,0,0
5.531,2.58,2.406,10.685,17.9770161982842,-71.5650482177734,-11.6336336135864
4.592,2.152,2.038,7.137,10.5450088452335,-21.8014068603516,-19.1790065765381
5.523,2.845,2.445,11.475,20.1156837736511,-78.690071105957,0
5.876,2.679,2.678,11.457,22.0731185456903,0,-75.9637603759766
3.274,2.545,2.029,5.865,8.85211670755249,-17.1759052276611,-26.5650501251221
