Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
4.955,2.042,1.683,7.524,8.91624790240186,-33.6900672912598,-55.0079803466797
5.296,2.456,2.285,9.354,15.5618478774063,-65.0952377319336,-45
5.085,2.39,2.314,9.19,14.7248484996589,-14.036244392395,-51.8427734375
5.397,2.427,2.176,9.723,14.9238098789591,0,0
5.378,2.29,2.215,8.947,14.2833024693056,-9.46232223510742,-79.9920196533203
4.841,2.175,1.95,7.854,10.7504731192174,-11.3099327087402,-54.4623184204102
5.096,2.343,2.287,8.54,14.2977103556633,0,-6.34019184112549
3.925,2.218,2.12,5.693,9.66352748326914,-23.6820869445801,0
5.147,2.355,2.077,8.119,13.1819663467106,-12.5288076400757,-17.3540229797363
4.979,2.259,2.077,8.53,12.2318874420755,-18.4349479675293,0
5.271,2.354,2.166,8.649,14.0720234225264,-14.036244392395,-76.7594833374023
5.013,2.268,2.194,8.348,13.0609870960763,-36.8698959350586,-15.2551202774048
4.823,2.189,1.872,7.44,10.3482637736802,-45,-4.08561658859253
