Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
5.866,2.867,2.851,13.003,25.1053101621833,-68.1985931396484,-78.9964599609375
5.57,3.055,2.937,12.131,26.1679064538718,-71.5650482177734,-46.2188758850098
6.343,3.237,2.814,16.469,30.2524203519079,-32.47119140625,-63.4349517822266
6.213,3.343,3.04,15.885,33.0605394829735,-33.6900672912598,-45
6.642,3.321,3.044,16.208,35.1569359097395,-75.9637603759766,-71.5650482177734
6.568,3.166,3.047,14.75,33.1753208043184,-45,-45
5.217,3.331,2.506,10.139,22.8021164030362,-22.9887161254883,-63.4349517822266
6.094,3.235,3.18,14.849,32.8248293675902,-56.309928894043,-35.5376739501953
6.086,3.231,2.58,11.955,26.5636184957129,-18.4349498748779,-6.63251447677612
0,0,0,0,0,0,0
6.783,3.238,3.18,16.346,36.5699531345338,0,-59.7435646057129
6.746,3.166,3.138,16.002,35.0920556125938,0,-45
1.647,0.917,0,0.881,0,-63.4349517822266,0
0,0,0,0,0,0,0
6.243,3.138,3.04,14.759,31.1830420317792,-33.6900634765625,0
5.87,3.054,2.903,12.958,27.2491394910426,-86.8201675415039,0
