Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
6.142,3.202,2.971,14.489,30.5937288892241,-30.9637546539307,-38.6598091125488
5.838,3.013,2.825,12.106,26.0183826656834,-26.5650501251221,-63.4349517822266
6.645,3.03,3.003,14.246,31.6585899854252,-35.5376777648926,-29.0546054840088
5.769,2.907,2.784,12.41,24.446316152138,-30.0685844421387,-86.7295074462891
6.22,3.098,2.995,13.623,30.2181064768423,-11.3099327087402,-33.6900672912598
5.983,3.107,2.803,12.79,27.2823625679634,0,-23.6293773651123
5.332,2.999,2.904,11.361,24.31430391556,-32.47119140625,-51.8427696228027
5.052,2.961,2.807,10.732,21.9858258815097,-63.4349517822266,-23.9624900817871
6,2.963,2.803,13.071,26.0918349083401,-39.8055686950684,0
5.814,3.098,2.959,13.525,27.9061566842794,-45,-33.6900634765625
5.592,3.107,2.932,12.422,26.6729471389957,-40.6012954711914,-45
6.094,3.259,2.929,14.992,30.4582399934281,0,-79.3803482055664
6.605,2.938,2.929,14.026,29.7606633645793,0,-63.4349517822266
5.775,2.929,2.923,12.417,25.8880177624833,-48.0127868652344,0
4.603,2.929,2.788,9.245,19.6812074163774,-45,-63.4349517822266
5.426,3.218,2.76,12.909,25.2332699316865,-75.9637603759766,-63.4349517822266
6.276,3.054,2.871,14.032,28.8126883960635,-71.5650482177734,0
6.591,3.133,2.963,14.668,32.0362725888194,-75.9637603759766,-56.3099365234375
5.969,2.97,2.9,12.965,26.9187350814878,-63.4349517822266,-78.690071105957
5.913,2.762,2.657,11.41,22.7207011811884,-63.4349517822266,-56.3099365234375
5.816,3.066,2.678,12.993,25.0037842789606,0,-34.3803443908691
6.318,3.096,2.88,13.97,29.496581311266,-27.897274017334,0
5.845,3.024,2.892,12.915,26.7647513627047,-57.9946174621582,-75.9637603759766
5.853,2.776,2.218,11.788,18.8694025687031,-16.9275131225586,0
6.485,3.054,2.951,14.461,30.6017910149849,-80.5376739501953,0
