Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
4.738,1.886,1.381,6.526,6.46143597986078,0,-37.8749847412109
5.293,2.043,1.883,7.709,10.6615218904653,0,-78.690071105957
4.418,1.746,1.731,5.697,6.99142400093424,-45,-55.0079765319824
4.29,1.861,1.657,5.679,6.92667476160933,-45,-52.1250152587891
4.192,1.908,1.42,6.125,5.94684488972179,-45,-36.8698959350586
4.708,1.925,1.568,6.92,7.44066700240388,-45,-64.59228515625
4.329,1.717,1.523,5.661,5.92729314543067,-33.6900672912598,-52.6960525512695
4.593,1.758,1.203,6.144,5.0860375918869,-23.1985912322998,-85.0302581787109
4.859,1.84,1.813,6.456,8.48713574599275,-78.690071105957,-5.71059322357178
4.515,1.739,1.213,5.855,4.98674039480974,-29.7448825836182,0
4.804,1.88,1.815,6.688,8.58294045703166,-63.4349517822266,-56.3099365234375
4.977,1.876,1.775,6.594,8.67755658837799,-81.8698959350586,-77.9052429199219
4.224,1.757,1.568,4.866,6.093128703141,0,-47.2906074523926
4.453,1.684,1.146,5.444,4.49964262552941,-63.4349517822266,-76.3730010986328
4.406,1.831,1.786,5.848,7.54419514933564,-71.5650482177734,-85.2363510131836
4.846,1.942,1.339,7.101,6.59799276059562,0,-79.6951522827148
