Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
5.597,2.976,0,12.941,0,-57.9946174621582,0
5.664,2.899,2.617,11.427,22.4995485935514,-45,-46.4943313598633
6.292,2.863,2.771,11.511,26.1363664166237,-63.4349517822266,-41.9872131347656
5.803,3.007,2.699,11.939,24.6596839134965,-51.3401947021484,-21.8014106750488
5.79,3.13,2.668,13.849,25.3167147794682,-59.7435646057129,-76.6075057983398
6.093,2.964,2.72,12.967,25.7203517558133,-70.9743957519531,-41.9872131347656
6.22,2.785,2.574,13.343,23.3465519688858,-56.3099365234375,-45
6.256,2.818,1.881,11.512,17.3630152498903,-71.5650482177734,-70.8518600463867
6.153,2.871,2.324,11.807,21.4958614199286,-18.4349498748779,-66.8014068603516
5.898,2.755,1.927,12.224,16.3948220948022,-30.9637565612793,-63.4349517822266
6.124,2.987,2.415,13.124,23.1305607823592,-29.1342906951904,-78.9435882568359
5.988,2.979,2.53,10.706,23.6304198722152,-56.3099365234375,-11.3099327087402
6.398,2.703,2.626,12.394,23.778454589468,-71.146842956543,-39.897834777832
5.981,2.829,2.752,12.656,24.3811284061689,-5.33215951919556,-18.4349479675293
