Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
4.779,2.294,1.925,8.488,11.0499369566207,0,-88.0250701904297
5.159,2.071,2.007,8.235,11.2277212415465,-77.7352294921875,-65.2975692749023
5.787,2.356,2.125,9.714,15.1700260016803,-9.46232128143311,-52.1250152587891
5.922,2.386,1.992,10.508,14.7376011478681,-64.9831008911133,-2.93567323684692
6.164,2.391,2.37,11.264,18.2889669240077,-78.407829284668,-71.0753555297852
4.558,2.09,1.177,6.527,5.87077845975019,-15.4221601486206,-20.0715255737305
4.556,2.079,1.916,7.063,9.50237864196763,-28.442928314209,-8.01709270477295
4.931,2.456,2.379,9.278,15.0853860732037,-81.3474578857422,-15.9453954696655
5.277,1.46,1.407,5.568,5.67587300432393,-19.5366535186768,-26.5650501251221
5.649,2.092,1.727,8.925,10.6862225574608,0,-46.4320945739746
5.824,2.385,2.307,10.604,16.7786094991603,-36.8698959350586,-2.04540848731995
5.286,2.323,1.312,7.62,8.4354610791122,-49.3987045288086,-89.0122375488281
5.353,2.124,1.835,7.573,10.9241196108884,-59.0362396240234,-48.0127830505371
6.133,2.502,1.82,10.678,14.6227912547852,-7.59464359283447,-85.6012878417969
5.873,2.136,1.964,8.939,12.9003458900709,-57.3390884399414,-25.7693271636963
5.937,2.32,2.32,9.882,16.7317605615455,-63.4349517822266,-59.6208724975586
6.138,2.427,2.232,10.151,17.4096272611535,-72.3498840332031,-67.5572509765625
6.105,2.349,2.132,9.92,16.008642556134,-4.76364183425903,-72.6459732055664
6.081,2.414,2.092,10.413,16.0795011721525,0,-26.5650501251221
5.838,2.227,1.715,9.274,11.6747356155137,-26.5650501251221,0
