Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
6.423,2.825,2.209,12.117,20.9870169054152,-73.3007583618164,-81.7028579711914
5.888,3.07,2.542,13.523,24.0591536290252,-42.3974380493164,-18.4349479675293
4.683,3.059,2.51,10.882,18.8267770028978,-20.3231372833252,-56.9761276245117
6.31,3.304,2.8,14.891,30.5651162246625,-80.5376739501953,-85.2363510131836
5.491,3.437,2.648,14.738,26.1666170740845,-59.0362396240234,-58.2405242919922
6.348,2.877,2.615,13.5,25.0061651726522,-15.9453954696655,-69.325569152832
5.252,2.793,1.918,10.756,14.7313612034422,-31.4295635223389,-73.9400177001953
6.063,3.351,2.58,15.027,27.4460799654701,-68.1985931396484,-30.9637546539307
5.029,2.753,2.544,10.63,18.4418114007636,-36.8698959350586,-36.8698959350586
5.779,3.402,2.595,11.856,26.7130199345753,-69.4439544677734,-45
5.586,2.97,2.41,12.671,20.9350038727743,-8.13010215759277,-81.085075378418
4.474,2.607,2.177,9.071,13.2951751255268,-7.59464359283447,-34.9920196533203
5.547,3.052,2.427,12.825,21.5135011359528,-56.3099365234375,0
4.504,2.636,1.989,7.203,12.3645180587559,0,-33.2317123413086
5.291,2.945,2.845,12.326,23.2115399171127,-79.0459365844727,-66.8014068603516
4.846,2.506,2.024,9.422,12.8698536085303,-34.5085220336914,-63.9045753479004
6.155,3.3,3.077,15.226,32.724130484548,-45,-51.3401947021484
5.769,3.225,2.63,13.913,25.6203246552362,-45,-65.9426498413086
5.651,2.912,2.633,11.748,22.6864299940837,-45,-53.1301002502441
6.112,2.933,2.753,11.989,25.8404601040806,-48.3664588928223,-53.9726295471191
