Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3),Main Angle, Side Angle
7.51,3.331,2.991,20.195,39.1768582324196,-14.9314165115356,0
7.506,3.325,3.012,20.188,39.359883069312,-14.9314165115356,-87.1375961303711
7.51,3.329,3.011,20.203,39.4151433123335,-14.6208744049072,-87.2736892700195
7.512,3.331,3.01,20.208,39.4362244619446,-14.9314165115356,-87.1375961303711
7.513,3.331,3.011,20.226,39.4545777053935,-14.9314184188843,-87.2736892700195
7.512,3.331,2.991,20.205,39.1872914836134,-14.9314165115356,0
7.516,3.331,3.011,20.224,39.4703322286354,-14.9314165115356,-87.2736892700195
7.503,3.331,3.009,20.188,39.3758905504527,-14.9314184188843,-87.2736892700195
7.504,3.323,3.011,20.158,39.3126703310791,-14.6763944625854,-87.1375961303711
7.503,3.325,3.013,20.183,39.357214168543,-14.9314184188843,-87.2736892700195
7.511,3.323,2.991,20.195,39.0879720063611,-14.6208744049072,0
7.512,3.331,3.013,20.207,39.4755296690495,-14.9314165115356,-87.2736892700195
7.503,3.331,2.991,20.196,39.1403418532416,-14.9314184188843,0
7.514,3.325,3.013,20.202,39.4149150023234,-14.9314165115356,-87.1375961303711
7.516,3.331,3.013,20.207,39.4965496528988,-14.9314165115356,-87.1375961303711
7.516,3.325,3.011,20.225,39.399235863168,-14.9314165115356,-86.9872131347656
7.512,3.331,2.991,20.228,39.1872914836134,-14.9314165115356,0
7.497,3.323,2.993,20.162,39.0412029908634,-15.4221630096436,-88.210090637207
7.512,3.331,3.012,20.203,39.4624279333479,-14.9314165115356,-87.1375961303711
7.507,3.331,3.017,20.213,39.501626749894,-14.9314184188843,-86.9872131347656
7.51,3.331,3.013,20.226,39.4650196771248,-14.9314165115356,-87.2736892700195
7.506,3.331,3.01,20.195,39.404725880106,-14.9314165115356,-87.1375961303711
7.506,3.325,3.013,20.185,39.372950759574,-14.9314165115356,-87.1375961303711
7.506,3.322,3.011,20.189,39.3113144929936,-14.9314165115356,-87.2736892700195
7.507,3.322,3.014,20.184,39.3557247295176,-14.9314184188843,-86.9872131347656
7.501,3.337,3.012,20.229,39.4756202034666,-15.9453954696655,-86.9872131347656
7.512,3.331,2.991,20.214,39.1872914836134,-14.9314165115356,0
7.514,3.331,3.012,20.22,39.4729344370575,-14.9314165115356,-87.1375961303711
7.507,3.331,3.013,20.199,39.4492546892378,-14.9314184188843,-86.9872131347656
7.505,3.322,3.011,20.155,39.3060771742495,-14.4702930450439,-87.2736892700195
7.501,3.325,2.991,20.172,39.0594254283426,-14.9314184188843,0
7.516,3.331,3.013,20.202,39.4965496528988,-14.9314165115356,-87.2736892700195
7.516,3.331,3.011,20.245,39.4703322286354,-14.9314165115356,-87.2736892700195
7.506,3.325,3.011,20.176,39.3468153790499,-14.9314165115356,-87.1375961303711
7.504,3.331,3.011,20.205,39.4073141356679,-14.9314184188843,-87.1375961303711
7.513,3.331,3.013,20.196,39.4807846650118,-14.9314184188843,-87.2736892700195
7.512,3.331,3.013,20.217,39.4755296690495,-14.9314165115356,-87.1375961303711
7.516,3.331,3.013,20.222,39.4965496528988,-14.9314165115356,-87.1375961303711
7.506,3.325,3.012,20.171,39.359883069312,-14.9314165115356,-87.1375961303711
7.506,3.319,2.991,20.173,39.0149314175854,-14.6208744049072,0
7.507,3.331,3.012,20.218,39.4361616740738,-14.9314184188843,-87.1375961303711
7.503,3.319,3.013,20.165,39.2861936316975,-14.9314184188843,-87.2736892700195
7.504,3.331,3.013,20.175,39.4334897013508,-14.9314184188843,-87.2736892700195
7.513,3.331,2.991,20.22,39.1925081092102,-14.9314184188843,0
7.503,3.322,3.011,20.172,39.2956025367614,-14.9314184188843,-87.1375961303711
7.504,3.319,3.011,20.167,39.2653484287847,-14.9314184188843,-87.2736892700195
7.516,3.331,3.013,20.194,39.4965496528988,-14.9314165115356,-87.1375961303711
7.506,3.331,3.013,20.211,39.4439996932755,-14.9314165115356,-87.1375961303711
7.506,3.329,3.011,20.184,39.3941498937916,-14.6208744049072,-87.2736892700195
7.504,3.331,3.013,20.198,39.4334897013508,-14.9314184188843,-87.1375961303711
7.516,3.331,3.012,20.218,39.4834409407671,-14.9314165115356,-87.1375961303711
7.504,3.331,2.969,20.18,38.8576272563261,-14.9314184188843,0
7.506,3.325,2.991,20.187,39.0854615738088,-14.9314165115356,0
7.503,3.331,3.012,20.211,39.4151486666546,-14.9314184188843,-87.1375961303711
7.506,3.331,3.011,20.18,39.4178171511625,-14.9314165115356,-86.9872131347656
7.504,3.331,3.014,20.206,39.4465774841923,-14.9314184188843,-87.2736892700195
7.513,3.329,3.013,20.216,39.4570796006678,-14.6208744049072,-87.2736892700195
7.51,3.331,3.011,20.209,39.4388231821516,-14.9314165115356,-87.2736892700195
7.507,3.331,3.01,20.226,39.4099756437457,-14.9314184188843,-87.2736892700195
7.514,3.322,3.011,20.201,39.3532130429462,-14.9314165115356,-87.2736892700195
7.512,3.331,3.014,20.224,39.4886314047511,-14.9314165115356,-87.2736892700195
7.507,3.331,3.011,20.23,39.4230686589098,-14.9314184188843,-87.2736892700195
7.506,3.316,3.01,20.16,39.2272804018107,-14.6208744049072,-87.1375961303711
7.51,3.331,2.969,20.218,38.8886967877144,-14.9314165115356,0
7.506,3.331,2.991,20.195,39.1559917300322,-14.9314165115356,0
7.501,3.337,2.991,20.211,39.2003917757532,-15.9453954696655,0
7.503,3.319,3.011,20.151,39.2601158397083,-14.9314184188843,-87.2736892700195
7.506,3.331,2.991,20.219,39.1559917300322,-14.9314165115356,0
7.506,3.331,3.013,20.198,39.4439996932755,-14.9314165115356,-87.1375961303711
7.51,3.331,3.013,20.216,39.4650196771248,-14.9314165115356,-87.2736892700195
7.51,3.331,3.011,20.204,39.4388231821516,-14.9314165115356,-87.1375961303711
7.507,3.331,3.011,20.191,39.4230686589098,-14.9314184188843,-87.2736892700195
7.507,3.331,3.011,20.205,39.4230686589098,-14.9314184188843,-87.2736892700195
7.509,3.331,3.013,20.21,39.4597646811625,-14.9314184188843,-87.1375961303711
7.512,3.331,2.991,20.237,39.1872914836134,-14.9314165115356,0
7.511,3.333,3.01,20.229,39.454649855734,-14.6208744049072,-87.2736892700195
7.514,3.331,3.013,20.216,39.4860396609742,-14.9314165115356,-87.2736892700195
7.522,3.332,3.011,20.208,39.5137001286992,-14.3493328094482,-87.1375961303711
7.512,3.331,2.991,20.212,39.1872914836134,-14.9314165115356,0
7.504,3.319,3.011,20.175,39.2653484287847,-14.9314184188843,-87.2736892700195
7.51,3.331,2.993,20.204,39.2030547273928,-14.9314165115356,-88.0908508300781
7.513,3.331,3.011,20.21,39.4545777053935,-14.9314184188843,-87.3974456787109
7.51,3.331,3.011,20.226,39.4388231821516,-14.9314165115356,-87.2736892700195
7.505,3.317,3.013,20.165,39.2729859384533,-14.6208753585815,-86.9872131347656
7.51,3.331,3.013,20.198,39.4650196771248,-14.9314165115356,-87.2736892700195
7.505,3.337,3.013,20.222,39.509784165396,-15.9453954696655,-87.1375961303711
