Length(mm),Width(mm),Depth(mm),CenterMainX(px),Area(mm^2),Volume(mm^3),Time(millisec)
6.675,2.919,2.57,360.927568177158,15.026,26.2190595933335,42
6.549,2.939,2.561,216.776123319869,15.001,25.8096893470548,102
5.338,2.818,2.447,611.368083510525,12.437,19.2731255220616,164
6.209,2.823,2.47,483.650239812543,14.025,22.6687782195797,220
6.278,2.829,2.515,376.923633489023,14.182,23.3878807355092,273
6.337,2.824,2.515,226.747183410558,14.296,23.5659532181023,326
5.235,3.15,2.697,616.433110150787,13.843,23.2866388910087,550
7.331,3.172,2.716,554.531847775985,17.824,33.0692835573932,605
7.369,3.212,2.746,405.022628579976,18.309,34.031668985231,657
7.351,3.23,2.743,276.561264767006,18.408,34.1014915636827,711
6.944,3.208,2.724,146.192720715591,18.035,31.7723836015591,772
7.346,2.835,2.612,527.694177788831,15.486,28.4823475911936,1263
7.407,2.864,2.629,405.727388273217,15.823,29.201460072255,1322
7.377,2.853,2.629,261.501515102323,15.816,28.9714854667609,1379
6.662,3.314,2.538,540.36249099487,15.8,29.3391395283517,1439
6.231,3.341,2.953,398.830932207872,16.182,32.1881707267619,1497
6.263,3.36,2.971,265.376856319318,16.39,32.7358003388668,1555
6.236,3.399,2.931,127.052504173175,15.945,32.5290748526154,1610
5.892,3.014,2.901,601.376405532082,14.827,26.9744337850768,2080
7.319,3.074,2.923,496.526341189172,17.202,34.4336489861269,2132
7.406,3.082,2.964,366.591423340647,17.436,35.4236382136415,2193
7.38,3.104,2.968,238.897844857292,17.385,35.5992290904128,2263
5.972,3.017,2.901,607.39725460104,14.053,27.3678991200733,2334
7.566,3.041,2.923,500.656777566916,17.317,35.2135811971862,2387
7.637,3.059,2.923,363.101791967848,17.546,35.7544173528916,2449
7.705,3.066,2.923,230.46763735197,17.633,36.1553217934142,2507
5.982,3.036,2.923,122.03749049257,15.078,27.7955718626076,2563
6.368,2.766,2.651,532.796377957639,13.799,24.4491396145531,2723
6.547,2.789,2.674,393.692427634493,14.106,25.5652992368408,2776
6.413,2.803,2.697,255.164140768603,14.061,25.384224873979,2835
5.862,2.821,2.651,126.554876190476,13.479,22.9539404339496,2895
5.189,3.512,3.082,618.88766609603,14.698,29.4082671289125,2953
7.569,3.64,3.127,523.892199416046,19.638,45.1093316395122,3013
7.585,3.662,3.166,387.686851656413,19.949,46.0451039678694,3073
7.569,3.649,3.15,261.143161215043,20.023,45.5534784006919,3131
6.594,3.648,3.127,136.703564318634,18.829,39.3849479647057,3188
4.759,3.444,3.059,627.506676894557,13.388,26.251670641405,3246
7.443,3.438,3.1,549.50830366215,20.046,41.534999300544,3305
7.628,3.553,3.149,352.433455601597,20.509,44.6865858399814,3389
7.615,3.467,3.147,223.123687861465,20.48,43.50299071297,3452
5.824,3.467,3.127,117.304379923748,16.925,33.0599133928791,3514
6.482,3.255,3.014,594.603479592296,17.104,33.2967534155705,3574
7.557,3.286,3.039,474.832640667018,19.954,39.5135731214386,3634
7.682,3.312,3.104,346.291239828075,20.15,41.350899947858,3693
7.666,3.309,3.103,201.018606093825,20.142,41.214115132526,3755
5.28,3.331,3.036,103.627837316503,14.686,27.9581830985342,3813
7.138,3.218,3.082,546.371712700831,17.866,37.067546417709,3870
7.319,3.244,3.104,416.592557113005,18.225,38.5880584418121,3929
7.342,3.254,3.104,281.378279713906,18.403,38.8286475385509,3982
6.942,3.24,3.111,149.165136180133,18.062,36.6377042818781,4043
5.903,2.583,2.278,139.659125449268,11.882,18.1865169392115,4568
6.028,3.716,3.127,595.080818011995,18.279,36.6754501071095,4619
7.183,3.652,3.15,467.05337497038,20.225,43.2659068969291,4679
7.274,3.659,3.172,329.144413262655,20.585,44.2046042847135,4739
7.229,3.65,3.172,195.665068174647,20.613,43.8230792448978,4793
6.164,3.512,3.195,589.951291044325,16.983,36.2148442770767,4848
6.739,3.535,3.263,462.116602965022,17.734,40.7005774189274,4910
6.747,3.523,3.266,314.15073706291,17.788,40.6479039847644,4969
6.62,3.524,3.231,171.855749687305,17.516,39.4665777761813,5022
6.276,3.811,3.512,597.001655215901,19.544,43.9820039516979,7346
7.542,3.857,3.574,473.35655204742,22.639,54.4363925787561,7401
7.599,3.89,3.599,331.921395051995,22.796,55.7040170117812,7464
7.57,3.931,3.6,196.362488038998,22.717,56.0918864759696,7523
6.073,2.674,2.518,554.557170846668,12.274,21.4101165828437,11429
6.101,3.275,2.558,386.017808228353,12.778,26.761564054642,11489
6.101,2.728,2.56,255.029121845474,12.554,22.3091990590362,11547
7.023,2.946,2.915,530.347509679401,15.605,31.5785796523962,11603
7.006,2.991,2.917,398.510799880574,15.765,32.0052775273141,11663
6.966,2.999,2.948,261.512347886393,15.795,32.2467564393314,11715
6.413,2.969,2.923,132.465999804877,14.913,29.1406258736522,11773
6.369,2.948,2.923,547.610797793259,13.93,28.7359901247886,11832
6.422,2.991,2.952,411.770224800162,14.828,29.6894183755994,11889
6.413,3.036,2.97,324.206351120144,14.906,30.2773651662057,11939
6.336,2.989,2.971,158.137623814266,14.697,29.4606522481222,11995
5.733,2.475,2.47,601.538508878582,11.403,18.3507036021725,12481
6.097,2.503,2.495,463.222090454106,12.124,19.9363760482425,12538
6.325,2.54,2.538,328.453241585143,12.387,21.3493416163524,12596
6.39,2.515,2.504,199.749928743735,12.311,21.0703521665911,12654
5.948,2.795,2.425,470.103153772445,12.325,21.1087801802897,13229
5.993,2.802,2.447,320.015221576002,12.493,21.5151808167394,13293
5.96,2.787,2.412,180.507210239787,12.356,20.9777620169311,13351
5.309,3.603,3.255,616.070121460387,15.029,32.6006757814248,13567
7.174,3.648,3.252,516.190091024312,19.276,44.5620704843893,13620
7.191,4.401,3.288,385.0168722375,20.663,54.4842639853991,13678
7.277,3.743,3.287,255.038717847105,20.009,46.8781569172425,13735
6.549,3.694,3.263,132.838981809661,18.928,41.332110104188,13788
5.507,2.845,2.765,611.80545074195,13.132,22.6825096943355,14479
7.239,2.87,2.81,506.764462407729,16.707,30.5678867428639,14540
7.387,2.919,2.842,374.024212076879,17.023,32.0866878922597,14598
7.349,2.896,2.833,242.857094774492,17.036,31.5698124422409,14649
7.238,2.877,2.81,156.407949663305,16.852,30.6382095979544,14699
5.076,3.716,2.651,620.863480183326,15.368,26.1821718323507,14906
