Length(mm),Width(mm),Depth(mm),CenterMainX(px),Area(mm^2),Volume(mm^3),Time(millisec)
6.89,2.902,2.766,572.590578318395,16.041,28.9579242747044,218
7.258,3.122,2.807,437.381928625664,16.681,33.3035782072624,273
7.359,3.237,2.826,305.131962179942,16.99,35.2478216354291,331
7.301,3.287,2.821,174.730170774149,16.918,35.4473489857358,393
6.481,3.671,2.654,581.230784625032,19.244,33.0617583130617,654
7.136,3.647,2.674,454.973890528449,20.096,36.4376726520199,708
7.223,3.704,2.681,317.922828385351,20.237,37.5564063330123,768
7.225,3.648,2.677,182.460702834424,20.018,36.9436392346611,828
4.487,3.603,2.651,85.396804903495,13.125,22.440301192454,887
6.481,2.833,2.493,599.151026885736,13.751,23.9667693735881,943
8.064,2.882,2.538,465.996815963828,15.294,30.8840847573418,1004
7.261,2.896,2.563,334.25701341995,15.018,28.219039195912,1061
6.586,2.901,2.559,202.26497025161,14.701,25.5999055721913,1113
6.209,2.742,2.538,591.9301542706,13.525,22.6245187679839,1382
6.458,2.773,2.561,455.388370737394,14.094,24.0135357946539,1442
6.436,2.839,2.561,322.90855574896,14.16,24.5013282522749,1495
6.368,2.852,2.561,193.159404589217,13.983,24.3534658702287,1549
5.676,2.785,2.515,117.026758952516,13.02,20.8163316240016,1598
5.053,3.195,2.699,620.0104442341,13.291,22.8150627508528,1651
7.311,3.218,2.727,518.514038835045,17.669,33.5928293625978,1705
7.542,3.261,2.732,432.968471221403,18.064,35.1816856782574,1756
7.347,3.272,2.742,290.434826917699,18.055,34.5135321422494,1807
7.207,3.258,2.733,166.919764180098,18,33.6003542372685,1860
5.688,3.354,2.923,615.407038426705,13.891,29.1977969249554,2573
7.07,3.388,2.962,490.021310279532,16.542,37.1489456237175,2623
7.701,3.613,2.998,353.189423047832,16.972,43.6762492540766,2679
7.196,3.851,2.983,225.554508381521,17.271,43.2829197039506,2735
6.566,3.872,2.898,137.089739912751,17.009,38.577424544426,2788
5.62,2.969,2.833,610.579709870345,13.551,24.750940719398,3087
7.503,2.981,2.855,497.097064213663,16.858,33.4350253933205,3144
7.478,3.014,2.878,354.899193750062,17.111,33.9639443571175,3201
7.393,3.022,2.878,216.845448751024,16.918,33.6670123355169,3260
6.345,3.036,2.901,592.626084156173,15.679,29.2603653680496,3313
7.598,3.119,2.946,510.283583468246,17.603,36.5549360766054,3363
7.382,3.1,2.986,348.015210199896,17.566,35.7786673542321,3423
7.335,3.166,2.969,216.102099236641,17.489,36.1010512515623,3483
6.345,2.765,2.629,585.084037349933,13.858,24.1499352397163,3541
6.435,2.806,2.679,451.001002706098,14.168,25.3283881994946,3595
6.511,3.282,2.821,318.040201005025,14.306,31.563705348438,3653
6.436,2.925,2.701,228.553691897878,14.297,26.623497785761,3705
7.608,3.058,2.901,542.746890767897,17.368,35.3390065224208,3754
7.715,3.092,2.938,448.136084271704,17.67,36.69660011729,3807
7.75,3.104,2.946,271.741152582632,17.871,37.1069090615052,3880
6.843,3.082,2.923,145.684577547164,17.12,32.2779996128289,3939
4.26,3.58,3.036,639.520588170841,11.716,24.2433714281318,3992
7.183,3.626,3.127,587.427802299299,18.439,42.6442194651024,4049
7.614,3.677,3.172,436.323204174953,20.269,46.4984314921781,4105
7.592,3.772,3.211,312.088465836127,20.526,48.1467316679081,4162
7.42,3.621,3.15,179.057673422394,20.218,44.3140666132358,4216
6.096,3.497,3.082,607.300721769499,16.541,34.4010617932156,4268
7.588,3.485,3.119,480.858686823479,20.652,43.1861115011975,4322
7.646,3.58,3.163,341.926333235361,20.965,45.3330703809857,4381
7.62,3.519,3.131,207.107702074502,20.895,43.9598222906611,4441
5.506,3.49,3.104,106.580745375173,15.84,31.230718004132,4493
6.281,3.362,2.973,596.186203793957,17.121,32.871538727385,4596
7.603,3.332,3.076,522.504324767978,20.333,40.8013879337521,4644
7.775,3.551,3.354,372.125005684331,20.702,48.4855973530423,4694
7.805,3.367,3.073,234.716258763623,20.74,42.2841112074725,4754
6.118,3.354,3.014,122.514758213363,17.388,32.3828002691954,4808
4.011,3.263,2.855,75.5760654536574,10.512,19.5647575611402,4863
6.141,3.263,3.051,593.768136272545,16.655,32.0108348743423,4921
7.297,3.263,3.082,464.00197840244,18.687,38.4231243866284,4978
7.365,3.286,3.104,334.574416476179,18.982,39.3333236051955,5033
7.387,3.286,3.104,246.654877944364,18.991,39.4508162215315,5086
5.704,3.278,3.079,113.985468453323,15.731,30.1437151587343,5141
4.056,3.399,3.082,654.476952692369,10.328,22.2474565678778,5339
6.957,3.648,3.172,593.514887505984,18.772,42.1510729461071,5393
7.319,3.694,3.671,439.595123543349,21.239,51.9674785033712,5445
7.346,3.771,3.238,308.500194131233,21.381,46.9659296392953,5501
7.327,3.739,3.17,207.085678104082,21.288,45.4715272650253,5554
5.008,3.716,3.15,97.1224449351679,15.115,30.6936970043047,5606
5.552,2.583,2.243,602.86640952171,11.649,16.8423139861403,5664
5.982,2.583,2.268,463.424932740466,12.183,18.3490036643965,5720
