Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3)
5.974,2.6345,2.2775,12.1575,18.7673337250692
6.275,2.723,2.554,12.757,22.8497202171946
7.051,3.196,2.833,16.878,33.4285100081879
6.26666666666667,2.939,2.82566666666667,14.438,27.2491659641967
5.619,2.742,2.384,11.961,19.2323058054982
7.27366666666667,2.95733333333333,2.85666666666667,16.801,32.1950133771863
6.647,2.89333333333333,2.54566666666667,14.783,25.6346943429688
6.2505,3.4305,2.9805,16.0195,33.4648868519574
7.098,3.705,2.7145,20.075,37.3767499154283
6.4015,2.7825,2.5495,13.993,23.7768111265323
7.342,3.135,2.7265,17.623,32.8591812755619
6.164,2.542,2.493,12.134,20.4530969554647
7.302,3.063,3.04433333333333,17.0986666666667,35.6525472591499
7.407,3.005,2.8945,16.8,33.7331124348119
7.444,3.702,3.1155,20.0795,44.9536806869326
7.4305,3.2865,3.104,18.8565,39.6891494704383
7.682,3.39066666666667,3.03633333333333,20.3573333333333,41.4117781331213
