Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3)
5.885,2.9595,2.5215,12.9025,22.9919056701063
6.181,2.934,2.522,12.7155,23.9373054887375
5.8565,2.951,2.513,12.508,22.7401983761737
5.88366666666667,2.99633333333333,2.507,12.674,23.1446289902944
5.945,2.923,2.513,12.8775,22.8649016940397
5.868,3.178,2.51066666666667,12.795,24.5147762981266
5.87,2.929,2.51966666666667,12.6446666666667,22.6811244748538
5.86166666666667,2.88266666666667,2.53,12.4556666666667,22.3832410798631
5.8455,2.8835,2.514,12.471,22.1872351678144
5.882,2.955,2.512,12.6296666666667,22.8613503626549
5.92133333333333,2.947,2.512,12.7726666666667,22.9548039438
5.945,2.9495,2.5205,12.855,23.1408938408328
5.9285,2.8945,2.5235,12.59,22.6734085933569
5.8545,2.882,2.515,12.5175,22.2185079042223
