Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3)
6.032,2.5035,2.303,11.441,18.2096680344802
6.0075,2.5135,2.306,11.3095,18.2318249052094
6.0125,2.501,2.325,11.2155,18.3060319610542
6.035,2.4925,2.3055,11.2435,18.1580958275024
6.0135,2.512,2.3035,11.384,18.219359460877
6.0265,2.5285,2.2945,11.483,18.3070791926393
6.001,2.49633333333333,2.28833333333333,11.3626666666667,17.9498585655017
6.008,2.4735,2.2935,11.174,17.8457609745328
5.978,2.53033333333333,2.297,11.167,18.1935955077107
5.977,2.4885,2.323,11.2045,18.0920390355858
6.017,2.515,2.306,11.457,18.2718980578833
6.0305,2.629,2.2995,11.4425,19.0888523934869
5.999,2.493,2.301,11.354,18.0184065385528
5.956,2.569,2.289,11.195,18.3384746103348
5.988,2.4805,2.295,11.2125,17.8484066039542
5.995,2.488,2.305,11.298,18.0015174375016
6.0225,2.553,2.3035,11.4965,18.5445101743034
6.0255,2.5,2.328,11.4455,18.3616756789178
6.073,2.47,2.31,10.807,18.1430725235643
