Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3)
7.59866666666667,3.78,3.05333333333333,19.866,45.9116300372416
7.666,3.49266666666667,3.051,19.594,42.7877442431905
7.648,3.40666666666667,3.05766666666667,19.4036666666667,41.716119190843
7.61233333333333,3.406,3.042,19.2853333333333,41.3005747726967
7.49566666666667,3.45366666666667,3.049,19.4856666666667,41.3359425922328
7.63266666666667,3.45933333333333,3.071,19.9003333333333,42.4578323428614
7.67,3.46966666666667,3.04966666666667,19.8383333333333,42.4995296961447
7.66066666666667,3.42266666666667,3.057,19.6816666666667,41.9695252989959
7.64,3.42266666666667,3.06433333333333,19.4213333333333,41.9574393470133
7.62833333333333,3.40066666666667,3.058,19.3383333333333,41.5379154989346
7.72233333333333,3.47833333333333,3.06666666666667,19.7093333333333,43.128792121517
7.68133333333333,3.469,3.04833333333333,19.9846666666667,42.5303931908912
7.654,3.493,3.05333333333333,19.834,42.7470218912157
7.575,3.4325,3.04975,19.519,41.5254883816835
7.535,3.4075,3.05025,19.328,41.0104074198605
