Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3)
7.76125,3.8175,3.158,21.641,49.0114912397049
7.74325,3.8275,3.14675,21.9335,48.830496170249
7.7285,3.889,3.13875,22.19275,49.4068462087795
7.998,3.92,3.148,23.243,51.6852525035258
7.54325,3.89975,3.136,22.19625,48.3126313254968
7.83325,3.8525,3.14425,22.84375,49.6841216702535
7.81366666666667,3.91133333333333,3.175,22.5296666666667,50.8117349703788
7.83466666666667,3.829,3.154,22.386,49.5449038319103
7.78766666666667,3.902,3.16933333333333,22.5216666666667,50.4281023508945
7.61825,3.89825,3.14275,22.323,48.8720269109113
7.49975,3.8805,3.14325,22.15825,47.9391512607023
7.796,4.03775,3.16225,22.92325,52.1259576459392
7.858,3.828,3.165,22.604,49.8532169790587
7.67725,3.85125,3.17925,21.97325,49.2107824804741
7.62075,3.84875,3.156,22.009,48.4827387055749
