Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3)
6.055,3.31,2.9405,14.813,30.8580653989759
5.99166666666667,3.31733333333333,2.92233333333333,14.7516666666667,30.4134837192
6.0375,3.332,2.908,14.97,30.6290416006872
6.03666666666667,3.34066666666667,2.87466666666667,15.0983333333333,30.3498255096251
5.92633333333333,3.507,2.922,15.261,31.790551539387
6.01833333333333,3.44466666666667,2.90533333333333,15.1683333333333,31.5232026201442
6.028,3.31566666666667,2.92833333333333,14.893,30.6455487270068
5.97466666666667,3.331,2.91033333333333,14.747,30.3253336082682
6.005,3.308,2.937,14.7695,30.5472568463855
6.0245,3.3315,2.8885,14.9515,30.3530360434823
6.073,3.331,2.87233333333333,15.2566666666667,30.4229587547892
5.9195,3.454,2.939,15.255,31.4641744488069
5.91333333333333,3.433,2.93766666666667,15.045,31.226356538556
