Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3)
6.84666666666667,3.33333333333333,2.80766666666667,15.8716666666667,33.5565370025379
6.87433333333333,3.30166666666667,2.81033333333333,16.1706666666667,33.3975220304505
6.778,3.3755,2.79775,16.19575,33.5241309461359
6.871,3.331,2.8,16.385,33.5562519867804
7.00033333333333,3.32533333333333,2.80333333333333,16.308,34.1678331597357
6.8065,3.28475,2.814,16.08525,32.9472116837415
6.78625,3.31375,2.81125,15.83575,33.1104534541997
6.7685,3.31925,2.793,15.90825,32.8596748594304
6.86833333333333,3.37633333333333,2.79933333333333,16.2413333333333,33.9946208801518
6.796,3.34066666666667,2.79166666666667,16.3256666666667,33.1953028810041
6.858,3.325,2.81733333333333,16.3416666666667,33.6393464101473
6.87133333333333,3.29266666666667,2.81866666666667,16.111,33.3930549481946
6.79633333333333,3.286,2.80033333333333,15.933,32.7444960400901
7.081,3.30166666666667,2.81966666666667,15.9263333333333,34.521899086797
6.84733333333333,3.286,2.806,16.186,33.0589733459776
6.831,3.36533333333333,2.80433333333333,16.4383333333333,33.762469126165
6.821,3.412,2.8045,16.2565,34.1816704520588
