Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3)
4.966,1.90533333333333,1.745,7.131,8.64503298514165
5.038,1.917,1.75266666666667,7.12433333333333,8.86211804735221
5.025,1.905,1.745,7.01533333333333,8.74552711051934
4.9655,1.9425,1.7335,7,8.75449084823902
4.88,1.95333333333333,1.755,6.97333333333333,8.76490021669632
4.97733333333333,1.92166666666667,1.75133333333333,6.98033333333333,8.76890005598549
6.557,1.90333333333333,1.76033333333333,7.29066666666667,11.5024403685706
5.088,1.91133333333333,1.745,7.054,8.88564204949433
5.03733333333333,2.198,1.75,7.132,10.1481570262473
4.94533333333333,2.021,1.73,6.95033333333333,9.05742840328244
