Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3)
7.655,3.8845,3.4785,22.2095,54.1574867770408
6.3905,2.776,2.5495,13.836,23.6812381446036
7.096,3.691,2.712,20.087,37.1916939619164
6.581,3.003,2.754,14.853,28.4976980946246
6.135,2.541,2.477,11.968,20.2182639052061
7.543,3.529,3.16,20.714,44.0434642314939
7.0925,3.9445,3.535,20.7245,51.7799992737266
7.004,3.133,3.0635,16.7635,35.2005770974718
6.252,3.736,3.252,17.3495,39.9507038747479
6.7315,3.194,2.9575,16.046,33.2945038990949
7.5945,3.897,3.5955,23.011,55.7290298344913
6.753,3.58,3.195,17.997,40.4435492228691
7.2835,3.1915,2.8405,17.128,34.6133656275185
6.145,2.77,2.289,13.602,20.4007470608391
6.138,2.748,2.629,13.249,23.2184284459599
6.009,3.506,2.374,15.471,26.187464567742
6.5235,2.9275,2.6725,14.4505,26.722995030819
6.345,3.572,3.104,17.264,36.8352321713
6.979,2.88,2.379,14.999,25.0367959837681
7.186,3.145,3.03,16.957,35.8549493602916
7.216,3.589,3.126,18.936,42.3894302051593
7.229,3.633,3.195,20.194,43.9352505514865
7.4705,3.36,3.3425,19.212,43.9328877057211
6.783,3.293,3.167,17.18,37.0390836327734
6.821,3.053,2.923,15.727,31.8714844354818
