Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3)
4.95775,2.0405,1.7565,7.1345,9.29891560386832
5.1035,1.9215,1.7785,7.14625,9.13315735185202
4.954,1.92925,1.807,7.1095,9.04364541321387
5.0505,2.00625,1.78075,7.19625,9.45158062342709
5.281,1.915,1.8055,7.01525,9.5699997776416
2.027,1.518,1.31,1.931,2.11054899379437
5.37175,1.944,1.76975,7.24375,9.67850297661772
4.83125,2.213,1.7555,7.22175,9.82849402356801
5.06175,1.9625,1.75425,7.1715,9.12595592351809
5.18175,1.93075,1.79025,7.21075,9.38080212142462
5.015,1.92025,1.80025,7.1345,9.07790919519194
