Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3)
12.906,6.633,4.069,66.97,182.3845182
10.18,4.127,3.817,30.929,83.96591581
9.45,4.506,3.556,32.001,79.2836016
10.4,5.105,3.458,39.408,96.12861762
11.278,6.179,4.636,54.374,169.1579195
13.553,6.136,4.435,62.63,193.1136782
10.749,4.156,3.305,32.975,77.30608642
11.297,5.9,3.876,50.444,135.2687669
10.692,5.652,3.931,45.43,124.3834989
10.663,5.907,4.496,47.719,148.2761513
11.473,5.736,4.519,50.04,155.7137988
8.798,3.207,2.793,19.82,41.2622091
10.968,4.442,4.142,36.735,105.6609991
13.863,7.009,4.574,75.552,232.7062597
10.037,4.224,3.64,32.202,80.80306593
9.54,4.351,3.18,31.77,69.11354989
10.689,5.221,3.662,41.672,107.0059021
11.961,6.442,4.809,59.475,194.0178154
13.945,6.326,5.06,66.358,233.7205208
10.755,4.477,3.527,36.589,88.92043755
12.211,6.093,4.457,53.608,173.6295604
10.921,5.69,4.272,47.089,138.9967161
10.837,6.025,4.684,49.792,160.1332925
11.59,5.774,4.812,51.097,168.610438
8.85,3.183,2.902,19.801,42.80317056
11.035,4.491,4.383,37.45,113.732735657469
13.43,6.773,5.129,68.889,244.280280297159
9.336,4.393,3.324,30.996,71.3808448251615
10.4,4.118,3.857,30.745,86.4904073932445
10.293,5.063,3.805,38.517,103.825297350073
11.662,6.278,4.491,54.9,172.161495211488
13.518,6.099,4.927,60.993,212.692541160689
10.592,4.282,3.138,34.981,74.5205748912989
11.381,5.9,4.181,50.22,146.997931934532
10.781,4.629,4.603,37.969,120.277896434527
10.592,5.41,4.602,43.062,138.076723808141
8.474,2.912,2.88,19.067,37.2109656473597
10.694,4.513,4.352,36.941,109.974759849131
11.548,5.774,4.65,51.259,162.343584170561
13.877,6.725,4.827,72.172,235.865161502242
10.048,4.178,3.58,29.125,78.6918419457148
9.548,4.358,3.389,31.77,73.8362832870447
10.606,4.899,3.725,36.319,101.340714426867
11.869,6.222,4.628,54.878,178.951815687906
13.433,6.092,4.794,62.308,205.413773816145
10.693,4.328,3.746,31.919,90.7722737646407
11.635,5.781,4.451,49.351,156.756505572967
10.914,5.687,3.913,45.628,127.167357804362
10.787,5.825,4.5,46.381,148.049772550231
11.494,5.682,4.57,49.893,156.274185688591
8.788,3.299,2.887,21.912,43.8245807397851
11.158,4.75,3.784,41.213,105.009772292673
