Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3)
Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3)
48.349,21.537,20.604,734.563,21454.617
46.059,26.036,23.865,868.172,28618.388
60.960,27.269,23.382,1033.844,38868.336
57.743,22.579,21.860,921.934,28501.614
51.278,29.903,25.911,883.720,39729.744
38.711,20.502,13.943,455.728,11066.325
49.809,24.825,22.447,924.839,27756.710
57.737,29.123,20.795,883.720,34966.602
50.416,23.287,16.280,545.313,19114.078
59.737,24.975,24.673,1151.051,36810.447
52.987,26.662,23.287,928.370,32898.862
52.987,20.587,17.987,733.196,19621.381
53.552,22.429,20.340,763.893,24430.745
55.349,21.262,16.200,694.184,19064.731
57.374,22.950,22.612,915.214,29774.034
48.232,21.923,19.428,724.540,20542.779
49.195,22.288,19.924,782.858,21844.911
52.806,20.196,18.704,712.295,19947.122
42.341,19.722,15.736,506.813,13140.040
55.145,26.966,24.302,1057.365,36138.881
54.650,24.103,16.985,991.415,22373.369
56.307,21.262,17.220,663.886,20616.519
51.722,25.234,13.538,566.669,17668.873
55.628,25.312,21.411,917.720,30148.098
51.021,25.692,18.476,961.117,24218.704
46.180,19.423,16.344,513.533,14659.500
62.190,30.640,21.587,1084.474,41133.907
54.360,27.439,17.207,919.314,25665.318
57.352,24.755,17.424,914.872,24738.217
52.664,24.637,19.847,825.059,25750.994
55.250,23.639,16.724,649.819,21843.554
46.574,19.575,19.237,674.194,17538.279
53.181,20.927,19.912,788.838,22161.223
55.727,27.337,20.115,665.481,30643.330
48.257,13.988,7.905,446.274,5336.123
59.715,23.404,23.339,965.047,32617.553
49.959,25.206,24.924,932.015,31385.009
62.437,26.781,19.912,954.283,33295.114
35.233,18.177,18.028,410.907,11545.971
55.322,27.002,24.154,753.528,36080.492
49.996,24.604,23.861,864.128,29351.322
59.211,29.855,22.950,1348.730,40568.775
48.751,20.678,20.250,621.913,20413.118
57.523,28.269,24.470,1150.766,39791.509
57.409,24.227,22.673,859.686,31534.506
50.407,23.037,22.950,826.255,26650.012
58.456,24.333,23.842,1020.631,33913.656
60.074,22.950,22.612,888.503,31175.165
57.335,24.673,23.296,866.862,32955.173
49.949,21.037,18.900,605.454,19859.277
38.164,21.717,16.763,607.732,13893.951
