Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3)
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.418,0.293,0.209,0.089,0.0134025924165088
0.209,0.209,0,0.044,0
0.921,0.293,0,0.245,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.377,0.293,0,0.102,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.921,0.879,0,0.607,0
0,0,0,0,0
0.418,0.251,0,0.093,0
0,0,0,0,0
0,0,0,0,0
7.551,3.397,2.93,16.507,39.3519501865785
