Length(mm),Width(mm),Depth(mm),Area(mm^2),Volume(mm^3)
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
13.655,7.029,5.617,72.665,282.285320226022
14.023,6.891,5.709,72.655,288.856303496684
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
6.192,4.854,4.393,23.623,69.1338185182657
14.31,7.071,5.69,76.436,301.461155669523
12.218,6.527,5.649,63.379,235.876095678813
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
5.105,4.561,2.51,17.268,30.6004746143592
13.868,7.022,5.66,74.483,288.595604097235
14.182,11.279,7.066,118.505,591.807320689263
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.251,0.209,0,0.051,0
0.293,0.251,0,0.063,0
9.542,6.862,5.412,42.716,185.543838163728
14.184,11.172,6.987,117.272,579.720976650573
0.377,0.251,0,0.094,0
0.377,0.293,0,0.08,0
